U+4E02	gnv	丂	0x8140
U+4E04	hgd	丄	0x8141
U+4E05	ghk	丅	0x8142
U+4E06	dgt	丆	0x8143
U+4E0F	ghnn	丏	0x8144
U+4E12	vygf	丒	0x8145
U+4E17	gkgd	丗	0x8146
U+4E1F	gcu	丟	0x8147
U+4E20	uxgf	丠	0x8148
U+4E21	gmmk	両	0x8149
U+4E23	gjan	丣	0x814A
U+4E26	uogf	並	0x814B
U+4E29	nhk	丩	0x814C
U+4E2E	ngk	丮	0x814D
U+4E2F	ehk	丯	0x814E
U+4E31	njhg	丱	0x814F
U+4E33	kkjk	丳	0x8150
U+4E35	oguf	丵	0x8151
U+4E37	uyt	丷	0x8152
U+4E3C	fjyi	丼	0x8153
U+4E40	yyll	乀	0x8154
U+4E41	yyll	乁	0x8155
U+4E42	rty	乂	0x8156
U+4E44	nyi	乄	0x8157
U+4E46	nwi	乆	0x8158
U+4E4A	tur	乊	0x8159
U+4E51	ithy	乑	0x815A
U+4E55	rfmh	乕	0x815B
U+4E57	tgai	乗	0x815C
U+4E5A	nnll	乚	0x815D
U+4E5B	nnll	乛	0x815E
U+4E62	mnn	乢	0x815F
U+4E63	xnn	乣	0x8160
U+4E64	ghnb	乤	0x8161
U+4E65	tunb	乥	0x8162
U+4E67	ufnb	乧	0x8163
U+4E68	cknn	乨	0x8164
U+4E6A	nld	乪	0x8165
U+4E6B	eknb	乫	0x8166
U+4E6C	annb	乬	0x8167
U+4E6D	dnb	乭	0x8168
U+4E6E	qtbn	乮	0x8169
U+4E6F	tufn	乯	0x816A
U+4E72	uqwn	乲	0x816B
U+4E74	rrnb	乴	0x816C
U+4E75	ufnn	乵	0x816D
U+4E76	gehn	乶	0x816E
U+4E77	iitn	乷	0x816F
U+4E78	bxi	乸	0x8170
U+4E79	fjfn	乹	0x8171
U+4E7A	rnrn	乺	0x8172
U+4E7B	ywun	乻	0x8173
U+4E7C	iygn	乼	0x8174
U+4E7D	ftjn	乽	0x8175
U+4E7F	exin	乿	0x8176
U+4E80	qjjn	亀	0x8177
U+4E81	fjfn	亁	0x8178
U+4E82	ecmn	亂	0x8179
U+4E83	oqan	亃	0x817A
U+4E84	fpgn	亄	0x817B
U+4E85	hhll	亅	0x817C
U+4E87	qhj	亇	0x817D
U+4E8A	guvh	亊	0x817E
U+4E90	fnv	亐	0x8180
U+4E96	fff	亖	0x8181
U+4E97	mff	亗	0x8182
U+4E99	ghng	亙	0x8183
U+4E9C	gkjg	亜	0x8184
U+4E9D	cccf	亝	0x8185
U+4E9E	gfgd	亞	0x8186
U+4EA3	yjj	亣	0x8187
U+4EAA	yoyu	亪	0x8188
U+4EAF	ykjf	亯	0x8189
U+4EB0	yjiu	亰	0x818A
U+4EB1	ywjg	亱	0x818B
U+4EB4	ykpv	亴	0x818C
U+4EB6	ylkg	亶	0x818D
U+4EB7	utvo	亷	0x818E
U+4EB8	ykbl	亸	0x818F
U+4EB9	yemg	亹	0x8190
U+4EBC	wgf	亼	0x8191
U+4EBD	wyu	亽	0x8192
U+4EBE	wnv	亾	0x8193
U+4EC8	wwy	仈	0x8194
U+4ECC	wwu	仌	0x8195
U+4ECF	wcy	仏	0x8196
U+4ED0	wfj	仐	0x8197
U+4ED2	wuu	仒	0x8198
U+4EDA	wmj	仚	0x8199
U+4EDB	wtan	仛	0x819A
U+4EDC	wag	仜	0x819B
U+4EE0	wfh	仠	0x819C
U+4EE2	wqyy	仢	0x819D
U+4EE6	wiy	仦	0x819E
U+4EE7	hgwu	仧	0x819F
U+4EE9	whgg	仩	0x81A0
U+4EED	wvyy	仭	0x81A1
U+4EEE	wrcy	仮	0x81A2
U+4EEF	witt	仯	0x81A3
U+4EF1	wwyn	仱	0x81A4
U+4EF4	weg	仴	0x81A5
U+4EF8	wtdy	仸	0x81A6
U+4EF9	wdhh	仹	0x81A7
U+4EFA	wagf	仺	0x81A8
U+4EFC	wgg	仼	0x81A9
U+4EFE	wgxg	仾	0x81AA
U+4F00	wwcy	伀	0x81AB
U+4F02	wgmh	伂	0x81AC
U+4F03	wcnh	伃	0x81AD
U+4F04	wxhh	伄	0x81AE
U+4F05	wgbn	伅	0x81AF
U+4F06	wqrt	伆	0x81B0
U+4F07	wwcy	伇	0x81B1
U+4F08	wny	伈	0x81B2
U+4F0B	wbyy	伋	0x81B3
U+4F0C	wdbn	伌	0x81B4
U+4F12	wrh	伒	0x81B5
U+4F13	wdhy	伓	0x81B6
U+4F14	wpwn	伔	0x81B7
U+4F15	wfwy	伕	0x81B8
U+4F16	wdcy	伖	0x81B9
U+4F1C	wvfh	伜	0x81BA
U+4F1D	wfcy	伝	0x81BB
U+4F21	wlh	伡	0x81BC
U+4F23	wmqn	伣	0x81BD
U+4F28	wqug	伨	0x81BE
U+4F29	wyy	伩	0x81BF
U+4F2C	wnyy	伬	0x81C0
U+4F2D	wyxy	伭	0x81C1
U+4F2E	wvcy	伮	0x81C2
U+4F31	wwiy	伱	0x81C3
U+4F33	wann	伳	0x81C4
U+4F35	wlg	伵	0x81C5
U+4F37	wmg	伷	0x81C6
U+4F39	wegg	伹	0x81C7
U+4F3B	wguf	伻	0x81C8
U+4F3E	wdhg	伾	0x81C9
U+4F3F	wkwy	伿	0x81CA
U+4F40	whnn	佀	0x81CB
U+4F41	wckg	佁	0x81CC
U+4F42	wghg	佂	0x81CD
U+4F44	wafg	佄	0x81CE
U+4F45	wfiy	佅	0x81CF
U+4F47	wpsh	佇	0x81D0
U+4F48	wdmh	佈	0x81D1
U+4F49	wfcy	佉	0x81D2
U+4F4A	whcy	佊	0x81D3
U+4F4B	wvkg	佋	0x81D4
U+4F4C	whxn	佌	0x81D5
U+4F52	wmdy	佒	0x81D6
U+4F54	whkg	佔	0x81D7
U+4F56	wntt	佖	0x81D8
U+4F61	wwmh	佡	0x81D9
U+4F62	wang	佢	0x81DA
U+4F66	wdg	佦	0x81DB
U+4F68	wqnn	佨	0x81DC
U+4F6A	wlkg	佪	0x81DD
U+4F6B	wtkg	佫	0x81DE
U+4F6D	wtah	佭	0x81DF
U+4F6E	wwgk	佮	0x81E0
U+4F71	wfhf	佱	0x81E1
U+4F72	wqkg	佲	0x81E2
U+4F75	wuah	併	0x81E3
U+4F77	wvey	佷	0x81E4
U+4F78	wtdg	佸	0x81E5
U+4F79	wqdb	佹	0x81E6
U+4F7A	wwgg	佺	0x81E7
U+4F7D	wuqw	佽	0x81E8
U+4F80	wgaj	侀	0x81E9
U+4F81	wtfq	侁	0x81EA
U+4F82	wota	侂	0x81EB
U+4F85	wynw	侅	0x81EC
U+4F86	swwi	來	0x81ED
U+4F87	wgxw	侇	0x81EE
U+4F8A	wigq	侊	0x81EF
U+4F8C	wync	侌	0x81F0
U+4F8E	woy	侎	0x81F1
U+4F90	wtlg	侐	0x81F2
U+4F92	wpvg	侒	0x81F3
U+4F93	wvgh	侓	0x81F4
U+4F95	wdmj	侕	0x81F5
U+4F96	wgma	侖	0x81F6
U+4F98	wpta	侘	0x81F7
U+4F99	waay	侙	0x81F8
U+4F9A	wqjg	侚	0x81F9
U+4F9C	wtey	侜	0x81FA
U+4F9E	wvkg	侞	0x81FB
U+4F9F	wdhb	侟	0x81FC
U+4FA1	wsg	価	0x81FD
U+4FA2	wgmf	侢	0x81FE
U+4FA4	wftn	侤	0x8240
U+4FAB	wynv	侫	0x8241
U+4FAD	wnyu	侭	0x8242
U+4FB0	wvtk	侰	0x8243
U+4FB1	wkgg	侱	0x8244
U+4FB2	wdfe	侲	0x8245
U+4FB3	wwwf	侳	0x8246
U+4FB4	wgnj	侴	0x8247
U+4FB6	wktk	侶	0x8248
U+4FB7	wnnk	侷	0x8249
U+4FB8	wgku	侸	0x824A
U+4FB9	wtfp	侹	0x824B
U+4FBA	wmwn	侺	0x824C
U+4FBB	wukq	侻	0x824D
U+4FBC	wfpb	侼	0x824E
U+4FBD	wlet	侽	0x824F
U+4FBE	wftb	侾	0x8250
U+4FC0	wevg	俀	0x8251
U+4FC1	wknd	俁	0x8252
U+4FC2	wtxi	係	0x8253
U+4FC6	wwgs	俆	0x8254
U+4FC7	wqtg	俇	0x8255
U+4FC8	wtfk	俈	0x8256
U+4FC9	wgkg	俉	0x8257
U+4FCB	wkcn	俋	0x8258
U+4FCC	wgey	俌	0x8259
U+4FCD	wyve	俍	0x825A
U+4FD2	wpfq	俒	0x825B
U+4FD3	wgva	俓	0x825C
U+4FD4	whqn	俔	0x825D
U+4FD5	wpsy	俕	0x825E
U+4FD6	wdhk	俖	0x825F
U+4FD9	wrdh	俙	0x8260
U+4FDB	wqkq	俛	0x8261
U+4FE0	wdww	俠	0x8262
U+4FE2	wtet	俢	0x8263
U+4FE4	wuxt	俤	0x8264
U+4FE5	wlh	俥	0x8265
U+4FE7	wfny	俧	0x8266
U+4FEB	wgoy	俫	0x8267
U+4FEC	wtcy	俬	0x8268
U+4FF0	wtkg	俰	0x8269
U+4FF2	wywe	俲	0x826A
U+4FF4	waay	俴	0x826B
U+4FF5	wgey	俵	0x826C
U+4FF6	whgc	俶	0x826D
U+4FF7	wecn	俷	0x826E
U+4FF9	wgfg	俹	0x826F
U+4FFB	wtlg	俻	0x8270
U+4FFC	wyce	俼	0x8271
U+4FFD	wrqw	俽	0x8272
U+4FFF	whaw	俿	0x8273
U+5000	wdey	倀	0x8274
U+5001	wtdk	倁	0x8275
U+5002	wtgf	倂	0x8276
U+5003	wthk	倃	0x8277
U+5004	wrde	倄	0x8278
U+5005	wywf	倅	0x8279
U+5006	wgmy	倆	0x827A
U+5007	wpqb	倇	0x827B
U+5008	wsww	倈	0x827C
U+5009	wyvk	倉	0x827D
U+500A	wwcn	倊	0x827E
U+500B	wldg	個	0x8280
U+500E	wmaw	倎	0x8281
U+5010	whto	倐	0x8282
U+5011	wug	們	0x8283
U+5013	wooy	倓	0x8284
U+5015	wtfg	倕	0x8285
U+5016	wfuf	倖	0x8286
U+5017	weeg	倗	0x8287
U+501B	wadw	倛	0x8288
U+501D	fjfw	倝	0x8289
U+501E	wyki	倞	0x828A
U+5020	wwyg	倠	0x828B
U+5022	wgvh	倢	0x828C
U+5023	wyty	倣	0x828D
U+5024	wfhn	値	0x828E
U+5027	wpfi	倧	0x828F
U+502B	wwga	倫	0x8290
U+502F	wswc	倯	0x8291
U+5030	wfwt	倰	0x8292
U+5031	wjxx	倱	0x8293
U+5032	wgji	倲	0x8294
U+5033	wgkh	倳	0x8295
U+5034	wdfa	倴	0x8296
U+5035	wfhy	倵	0x8297
U+5036	whgw	倶	0x8298
U+5037	wdfi	倷	0x8299
U+5038	wesy	倸	0x829A
U+5039	wwgw	倹	0x829B
U+503B	wbbh	倻	0x829C
U+503D	wwfk	倽	0x829D
U+503F	wuvg	倿	0x829E
U+5040	wamd	偀	0x829F
U+5041	wemf	偁	0x82A0
U+5042	wuej	偂	0x82A1
U+5044	wdmd	偄	0x82A2
U+5045	wtgf	偅	0x82A3
U+5046	wdwj	偆	0x82A4
U+5049	wnkh	偉	0x82A5
U+504A	wtky	偊	0x82A6
U+504B	wnua	偋	0x82A7
U+504D	wjgh	偍	0x82A8
U+5050	wute	偐	0x82A9
U+5051	wwtj	偑	0x82AA
U+5052	wjgr	偒	0x82AB
U+5053	wngf	偓	0x82AC
U+5054	wkkn	偔	0x82AD
U+5056	wftj	偖	0x82AE
U+5057	with	偗	0x82AF
U+5058	wkkk	偘	0x82B0
U+5059	wyuh	偙	0x82B1
U+505B	wtfe	偛	0x82B2
U+505D	wuxe	偝	0x82B3
U+505E	wans	偞	0x82B4
U+505F	wrgg	偟	0x82B5
U+5060	wsvg	偠	0x82B6
U+5061	wadn	偡	0x82B7
U+5062	wtoy	偢	0x82B8
U+5063	wujg	偣	0x82B9
U+5064	wusg	偤	0x82BA
U+5066	wnhe	偦	0x82BB
U+5067	wdqq	偧	0x82BC
U+5068	whxs	偨	0x82BD
U+5069	wqmy	偩	0x82BE
U+506A	wgkl	偪	0x82BF
U+506B	wtff	偫	0x82C0
U+506D	wdmd	偭	0x82C1
U+506E	wkbg	偮	0x82C2
U+506F	wyke	偯	0x82C3
U+5070	wdhd	偰	0x82C4
U+5071	wrfh	偱	0x82C5
U+5072	wlny	偲	0x82C6
U+5073	wmdj	偳	0x82C7
U+5074	wmjh	側	0x82C8
U+5075	whmy	偵	0x82C9
U+5078	wwgb	偸	0x82CA
U+5079	whtl	偹	0x82CB
U+507A	wthj	偺	0x82CC
U+507C	whvh	偼	0x82CD
U+507D	wyto	偽	0x82CE
U+5081	wehc	傁	0x82CF
U+5082	wrhw	傂	0x82D0
U+5083	wgxi	傃	0x82D1
U+5084	wduh	傄	0x82D2
U+5086	wdri	傆	0x82D3
U+5087	wabg	傇	0x82D4
U+5089	wdff	傉	0x82D5
U+508A	wkmy	傊	0x82D6
U+508B	wamf	傋	0x82D7
U+508C	wcoy	傌	0x82D8
U+508E	wfhw	傎	0x82D9
U+508F	wovk	傏	0x82DA
U+5090	wykk	傐	0x82DB
U+5091	wqas	傑	0x82DC
U+5092	wexd	傒	0x82DD
U+5093	wynn	傓	0x82DE
U+5094	wuvo	傔	0x82DF
U+5095	wpwy	傕	0x82E0
U+5096	wwyk	傖	0x82E1
U+5097	wyxl	傗	0x82E2
U+5098	wwwf	傘	0x82E3
U+5099	wath	備	0x82E4
U+509A	wywt	傚	0x82E5
U+509B	wpwk	傛	0x82E6
U+509C	werm	傜	0x82E7
U+509D	wjng	傝	0x82E8
U+509E	wuga	傞	0x82E9
U+509F	wwcn	傟	0x82EA
U+50A0	wyfy	傠	0x82EB
U+50A1	wuug	傡	0x82EC
U+50A2	wpge	傢	0x82ED
U+50A4	wfly	傤	0x82EE
U+50A6	wmeg	傦	0x82EF
U+50AA	wcce	傪	0x82F0
U+50AB	wlxi	傫	0x82F1
U+50AD	wovh	傭	0x82F2
U+50AE	wgmj	傮	0x82F3
U+50AF	wtln	傯	0x82F4
U+50B0	wmee	傰	0x82F5
U+50B1	wtwh	傱	0x82F6
U+50B3	wgjf	傳	0x82F7
U+50B4	wakk	傴	0x82F8
